pair,kind,named_dichotomy,carrier,input_type,target,metric,layer,value,corroboration_only,unit_of_analysis,reporting_order,statement,note
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,side,cosine_MB,0,-0.011032,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_MB(side) = -0.0110 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,side,cosine_M_frameterm,0,0.040134,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_M_frameterm(side) = 0.0401 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,rim,midpoint_t,0,0.542261,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, midpoint_t(rim) = 0.5423 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,rim,remainder_ratio,0,0.937831,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, remainder_ratio(rim) = 0.9378 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,rim,cosine_MA,0,0.082877,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_MA(rim) = 0.0829 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,rim,cosine_MB,0,0.18901,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_MB(rim) = 0.1890 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,rim,cosine_M_frameterm,0,0.153408,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_M_frameterm(rim) = 0.1534 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,face,midpoint_t,0,0.397131,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, midpoint_t(face) = 0.3971 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,face,remainder_ratio,0,1.044873,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, remainder_ratio(face) = 1.0449 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,face,cosine_MA,0,0.088096,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_MA(face) = 0.0881 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,face,cosine_MB,0,-0.015992,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_MB(face) = -0.0160 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,face,cosine_M_frameterm,0,0.073823,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_M_frameterm(face) = 0.0738 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,logical,both,midpoint_t,0,0.406896,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, midpoint_t(both) = 0.4069 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,logical,both,remainder_ratio,0,1.151773,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, remainder_ratio(both) = 1.1518 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,logical,both,cosine_MA,0,-0.040519,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_MA(both) = -0.0405 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,logical,both,cosine_MB,0,-0.121667,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_MB(both) = -0.1217 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,logical,both,cosine_M_frameterm,0,-0.032189,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_M_frameterm(both) = -0.0322 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,logical,neither,midpoint_t,0,0.48347,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, midpoint_t(neither) = 0.4835 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,logical,neither,remainder_ratio,0,1.069489,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, remainder_ratio(neither) = 1.0695 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,logical,neither,cosine_MA,0,0.017782,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_MA(neither) = 0.0178 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,logical,neither,cosine_MB,0,0.036887,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_MB(neither) = 0.0369 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,logical,neither,cosine_M_frameterm,0,0.052851,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_M_frameterm(neither) = 0.0529 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,control,table,midpoint_t,0,0.442772,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, midpoint_t(table) = 0.4428 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,control,table,remainder_ratio,0,1.03129,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, remainder_ratio(table) = 1.0313 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,control,table,cosine_MA,0,0.029689,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_MA(table) = 0.0297 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,control,table,cosine_MB,0,-0.010134,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_MB(table) = -0.0101 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,control,table,cosine_M_frameterm,0,0.087669,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_M_frameterm(table) = 0.0877 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,control,reason,midpoint_t,0,0.460794,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, midpoint_t(reason) = 0.4608 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,control,reason,remainder_ratio,0,1.028911,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, remainder_ratio(reason) = 1.0289 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,control,reason,cosine_MA,0,0.038523,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_MA(reason) = 0.0385 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,control,reason,cosine_MB,0,0.025097,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_MB(reason) = 0.0251 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,control,reason,cosine_M_frameterm,0,0.028546,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_M_frameterm(reason) = 0.0285 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,frame_term,coin,midpoint_t,0,0.497165,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, midpoint_t(coin) = 0.4972 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,frame_term,coin,remainder_ratio,0,0.971981,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, remainder_ratio(coin) = 0.9720 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,frame_term,coin,cosine_MA,0,0.07313,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_MA(coin) = 0.0731 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,frame_term,coin,cosine_MB,0,0.111996,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_MB(coin) = 0.1120 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,frame_term,coin,cosine_M_frameterm,0,1.0,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_M_frameterm(coin) = 1.0000 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,pole_pair,heads|tails,cosine_AB,1,0.338996,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 1, cosine_AB(heads|tails) = 0.3390 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,frame_term,coin,cosine_A_frameterm,1,0.199694,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 1, cosine_A_frameterm(coin) = 0.1997 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,frame_term,coin,cosine_B_frameterm,1,0.222149,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 1, cosine_B_frameterm(coin) = 0.2221 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,edge,midpoint_t,1,0.512233,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 1, midpoint_t(edge) = 0.5122 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,edge,remainder_ratio,1,0.967196,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 1, remainder_ratio(edge) = 0.9672 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,edge,cosine_MA,1,0.204378,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 1, cosine_MA(edge) = 0.2044 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,edge,cosine_MB,1,0.239427,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 1, cosine_MB(edge) = 0.2394 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,edge,cosine_M_frameterm,1,0.270713,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 1, cosine_M_frameterm(edge) = 0.2707 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,side,midpoint_t,1,0.491339,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 1, midpoint_t(side) = 0.4913 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,side,remainder_ratio,1,0.957732,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 1, remainder_ratio(side) = 0.9577 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,side,cosine_MA,1,0.222812,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 1, cosine_MA(side) = 0.2228 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
